ID,YEAR,MONTH,DAY,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,WT03,WT05
USC00044484,1972,8,1,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,10,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,11,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,12,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,13,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,14,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,15,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,16,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,17,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,18,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,19,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,2,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,20,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,21,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,22,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,23,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,24,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,25,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,26,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,27,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,28,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,29,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,3,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,30,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,31,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,4,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,5,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,6,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,7,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,8,,,,,0.0,0.0,0.0,,
USC00044484,1972,8,9,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,1,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,10,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,11,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,12,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,13,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,14,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,15,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,16,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,17,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,18,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,19,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,2,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,20,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,21,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,22,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,23,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,24,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,25,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,26,,,,,295.0,0.0,0.0,,
USC00044484,1972,9,27,,,,,312.0,0.0,0.0,,
USC00044484,1972,9,28,,,,,3.0,0.0,0.0,,
USC00044484,1972,9,29,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,3,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,30,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,31,,,,,-9999.0,-9999.0,-9999.0,,
USC00044484,1972,9,4,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,5,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,6,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,7,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,8,,,,,0.0,0.0,0.0,,
USC00044484,1972,9,9,,,,,0.0,0.0,0.0,,
