ID,YEAR,MONTH,DAY,DAEV,DAPR,DAWM,EVAP,MDEV,MDPR,MDWM,MNPN,MXPN,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV,WT01
USC00044534,1955,2,1,,,,18.0,,,,,,0.0,0.0,0.0,156.0,78.0,94.0,-9999.0,
USC00044534,1955,2,10,,,,38.0,,,,,,0.0,0.0,0.0,183.0,50.0,89.0,39.0,
USC00044534,1955,2,11,,,,58.0,,,,,,0.0,0.0,0.0,172.0,83.0,89.0,135.0,
USC00044534,1955,2,12,,,,46.0,,,,,,0.0,0.0,0.0,194.0,61.0,67.0,85.0,
USC00044534,1955,2,13,,,,23.0,,,,,,0.0,0.0,0.0,217.0,61.0,106.0,11.0,
USC00044534,1955,2,14,,,,30.0,,,,,,0.0,0.0,0.0,206.0,67.0,117.0,0.0,
USC00044534,1955,2,15,,,,25.0,,,,,,0.0,0.0,0.0,167.0,100.0,128.0,53.0,
USC00044534,1955,2,16,,,,25.0,,,,,,18.0,0.0,0.0,217.0,117.0,122.0,45.0,
USC00044534,1955,2,17,,,,20.0,,,,,,76.0,0.0,0.0,144.0,106.0,111.0,100.0,
USC00044534,1955,2,18,,,,20.0,,,,,,97.0,0.0,0.0,167.0,44.0,72.0,109.0,
USC00044534,1955,2,19,,,,48.0,,,,,,0.0,0.0,0.0,111.0,-6.0,28.0,166.0,
USC00044534,1955,2,2,,,,8.0,,,,,,8.0,0.0,0.0,139.0,22.0,50.0,211.0,
USC00044534,1955,2,20,,,,38.0,,,,,,0.0,0.0,0.0,117.0,-17.0,22.0,64.0,
USC00044534,1955,2,21,,,,33.0,,,,,,0.0,0.0,0.0,128.0,6.0,50.0,39.0,
USC00044534,1955,2,22,,,,38.0,,,,,,0.0,0.0,0.0,161.0,11.0,50.0,39.0,
USC00044534,1955,2,23,,,,23.0,,,,,,0.0,0.0,0.0,178.0,44.0,50.0,21.0,
USC00044534,1955,2,24,,,,30.0,,,,,,0.0,0.0,0.0,167.0,44.0,56.0,42.0,
