ID,YEAR,MONTH,DAY,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT18,WV03,WV07,WV20
USW00003104,1950,5,1,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,10,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,11,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,12,,,,0.0,0.0,0.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,13,,,,0.0,0.0,0.0,,344.0,194.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,14,,,,0.0,0.0,0.0,,350.0,183.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,15,,,,0.0,0.0,0.0,,367.0,178.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,16,,,,0.0,0.0,0.0,,361.0,178.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,17,,,,0.0,0.0,0.0,,311.0,172.0,,,,,,,,1.0,,,,,,,,,,,,
USW00003104,1950,5,18,,,,0.0,0.0,0.0,,339.0,156.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,19,,,,0.0,0.0,0.0,,344.0,156.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,2,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,20,,,,0.0,0.0,0.0,,378.0,172.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,21,,,,0.0,0.0,0.0,,394.0,167.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,22,,,,0.0,0.0,0.0,,367.0,144.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,23,,,,0.0,0.0,0.0,,333.0,167.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,24,,,,0.0,0.0,0.0,,333.0,167.0,,,,,,,,-9999.0,,,,,,,,,,,,
USW00003104,1950,5,25,,,,0.0,0.0,0.0,,344.0,178.0,,,,,,,,-9999.0,,,,,,,,,,,,
