ID,YEAR,MONTH,DAY,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT11
USC00042706,1979,11,1,,,0.0,0.0,0.0,244.0,67.0,211.0,,,,
USC00042706,1979,11,10,,,0.0,0.0,0.0,228.0,78.0,206.0,,,,
USC00042706,1979,11,11,,,0.0,0.0,0.0,239.0,83.0,189.0,,,,
USC00042706,1979,11,12,,,0.0,0.0,0.0,267.0,56.0,250.0,,,,
USC00042706,1979,11,13,,,0.0,0.0,0.0,289.0,44.0,244.0,,,,
USC00042706,1979,11,14,,,0.0,0.0,0.0,-9999.0,-9999.0,-9999.0,,,,
USC00042706,1979,11,15,,,0.0,0.0,0.0,278.0,39.0,239.0,,,,
USC00042706,1979,11,16,,,0.0,0.0,0.0,283.0,39.0,233.0,,,,
USC00042706,1979,11,17,,,0.0,0.0,0.0,233.0,78.0,172.0,,,,
USC00042706,1979,11,18,,,5.0,0.0,0.0,211.0,100.0,189.0,,,,
USC00042706,1979,11,19,,,0.0,0.0,0.0,189.0,61.0,167.0,,,,
USC00042706,1979,11,2,,,0.0,0.0,0.0,283.0,78.0,222.0,,,,
USC00042706,1979,11,20,,,0.0,0.0,0.0,200.0,6.0,156.0,,,,
USC00042706,1979,11,21,,,0.0,0.0,0.0,211.0,-17.0,167.0,,,,
USC00042706,1979,11,22,,,0.0,0.0,0.0,211.0,-6.0,167.0,,,,
USC00042706,1979,11,23,,,0.0,0.0,0.0,194.0,50.0,172.0,,,,
USC00042706,1979,11,24,,,0.0,0.0,0.0,250.0,33.0,200.0,,,,
USC00042706,1979,11,25,,,0.0,0.0,0.0,233.0,44.0,194.0,,,,
USC00042706,1979,11,26,,,0.0,0.0,0.0,194.0,100.0,161.0,,,,
USC00042706,1979,11,27,,,0.0,0.0,0.0,239.0,100.0,194.0,,,,
USC00042706,1979,11,28,,,0.0,0.0,0.0,-9999.0,-9999.0,-9999.0,,,,
USC00042706,1979,11,29,,,0.0,0.0,0.0,256.0,39.0,217.0,,,,
USC00042706,1979,11,3,,,0.0,0.0,0.0,239.0,56.0,183.0,,,,
USC00042706,1979,11,30,,,0.0,0.0,0.0,272.0,33.0,233.0,,,,
USC00042706,1979,11,31,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042706,1979,11,4,,,28.0,0.0,0.0,206.0,117.0,172.0,,,,
USC00042706,1979,11,5,,,0.0,0.0,0.0,272.0,61.0,211.0,,,,
USC00042706,1979,11,6,,,0.0,0.0,0.0,233.0,72.0,206.0,,,,
USC00042706,1979,11,7,,,0.0,0.0,0.0,206.0,106.0,172.0,,,,
USC00042706,1979,11,8,,,43.0,0.0,0.0,200.0,128.0,167.0,,,,
USC00042706,1979,11,9,,,0.0,0.0,0.0,200.0,94.0,167.0,,,,
USC00042706,1979,12,1,,,0.0,0.0,0.0,278.0,39.0,256.0,,,,
