ID,YEAR,MONTH,DAY,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,WT01,WT03,WT04,WT05,WT06,WT08,WT11,WT14,WT16,WT18
USC00046328,1943,11,1,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,10,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,11,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,12,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,13,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,14,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,15,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,16,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,17,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,18,,,,,25.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,19,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,2,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,20,,,,,97.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,21,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,22,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,23,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,24,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,25,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,26,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,27,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,28,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,29,,,,,0.0,,,1.0,,,,,,,,-9999.0,
USC00046328,1943,11,3,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,30,,,,,46.0,,,-9999.0,,,,,,,,1.0,
USC00046328,1943,11,31,,,,,-9999.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,4,,,,,74.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,5,,,,,41.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,6,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,7,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,8,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,11,9,,,,,0.0,,,-9999.0,,,,,,,,-9999.0,
USC00046328,1943,12,1,,,,,5.0,,-9999.0,,,,,,,,,-9999.0,
USC00046328,1943,12,10,,,,,0.0,,-9999.0,,,,,,,,,-9999.0,
USC00046328,1943,12,11,,,,,0.0,,-9999.0,,,,,,,,,-9999.0,
