ID,YEAR,MONTH,DAY,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT05,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WV01,WV03
USW00023190,1941,1,1,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,10,,,,-9999.0,0.0,0.0,,206.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,11,,,,0.0,0.0,0.0,,222.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,12,,,,0.0,0.0,0.0,,206.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,13,,,,-9999.0,0.0,0.0,,183.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,14,,,,0.0,0.0,0.0,,200.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,15,,,,0.0,0.0,0.0,,206.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,16,,,,0.0,0.0,0.0,,211.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,17,,,,0.0,0.0,0.0,,211.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,18,,,,0.0,0.0,0.0,,217.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,19,,,,-9999.0,0.0,0.0,,194.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,2,,,,0.0,0.0,0.0,,183.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,20,,,,-9999.0,0.0,0.0,,178.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,21,,,,-9999.0,0.0,0.0,,189.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,22,,,,0.0,0.0,0.0,,183.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,23,,,,-9999.0,0.0,0.0,,133.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,24,,,,-9999.0,0.0,0.0,,183.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,25,,,,-9999.0,0.0,0.0,,172.0,78.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,26,,,,-9999.0,0.0,0.0,,178.0,94.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,27,,,,0.0,0.0,0.0,,206.0,61.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,28,,,,0.0,0.0,0.0,,222.0,89.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,29,,,,0.0,0.0,0.0,,183.0,61.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,3,,,,0.0,0.0,0.0,,178.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,30,,,,0.0,0.0,0.0,,172.0,78.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,31,,,,0.0,0.0,0.0,,178.0,56.0,,,,,,,,,,,,,,,,,,,,,,
USW00023190,1941,1,4,,,,0.0,0.0,0.0,,189.0,-9999.0,,,,,,,,,,,,,,,,,,,,,,
