ID,YEAR,MONTH,DAY,DAEV,DAPR,DAWM,EVAP,MDEV,MDPR,MDWM,MNPN,MXPN,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV,WT01,WT04,WT05,WT08,WT11,WT16,WT18
USC00040931,1906,3,1,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,10,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,11,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,12,,,,,,,,,,,25.0,-9999.0,,,,,,,,,,-9999.0,1.0
USC00040931,1906,3,13,,,,,,,,,,,15.0,152.0,,,,,,,,,,-9999.0,1.0
USC00040931,1906,3,14,,,,,,,,,,,8.0,76.0,,,,,,,,,,-9999.0,1.0
USC00040931,1906,3,15,,,,,,,,,,,15.0,152.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,16,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,17,,,,,,,,,,,3.0,25.0,,,,,,,,,,-9999.0,1.0
USC00040931,1906,3,18,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,19,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,2,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,20,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,21,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,22,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,23,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,24,,,,,,,,,,,13.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,25,,,,,,,,,,,8.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,26,,,,,,,,,,,3.0,-9999.0,,,,,,,,,,-9999.0,1.0
USC00040931,1906,3,27,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,28,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,29,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,3,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,1.0,-9999.0
USC00040931,1906,3,30,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,31,,,,,,,,,,,15.0,102.0,,,,,,,,,,-9999.0,1.0
USC00040931,1906,3,4,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,5,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,6,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,7,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,8,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,3,9,,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,4,1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,10,,,,,,,,,,0.0,0.0,,,,,,,,,,,,1.0
USC00040931,1906,4,11,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,12,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,13,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,14,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,15,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,16,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,17,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,18,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,19,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,20,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,21,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,22,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,23,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,24,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,25,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,26,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,27,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,28,,,,,,,,,,25.0,25.0,,,,,,,,,,,,1.0
USC00040931,1906,4,29,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,3,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,30,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,31,,,,,,,,,,-9999.0,-9999.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,4,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,5,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,6,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,7,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,8,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,4,9,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-9999.0
USC00040931,1906,5,1,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,10,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,11,,,,,,,,,,51.0,0.0,-9999.0,,,,,,,,,,-9999.0,1.0
USC00040931,1906,5,12,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,13,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,14,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,15,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,16,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,17,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,18,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,19,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,2,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,20,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,21,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,22,,,,,,,,,,0.0,0.0,-9999.0,,,,,,,,,,-9999.0,1.0
USC00040931,1906,5,23,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,24,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,25,,,,,,,,,,0.0,0.0,-9999.0,,,,,,,,,,1.0,-9999.0
USC00040931,1906,5,26,,,,,,,,,,109.0,0.0,-9999.0,,,,,,,,,,-9999.0,1.0
USC00040931,1906,5,27,,,,,,,,,,135.0,0.0,-9999.0,,,,,,,,,,-9999.0,1.0
USC00040931,1906,5,28,,,,,,,,,,127.0,25.0,25.0,,,,,,,,,,-9999.0,1.0
USC00040931,1906,5,29,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,3,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,30,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,31,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,4,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,5,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,6,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,7,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,8,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,5,9,,,,,,,,,,-9999.0,0.0,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00040931,1906,6,1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
USC00040931,1906,6,10,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
USC00040931,1906,6,11,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
USC00040931,1906,6,12,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
USC00040931,1906,6,13,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
USC00040931,1906,6,14,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
USC00040931,1906,6,15,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
