ID,YEAR,MONTH,DAY,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WESD
USS0020K03S,1980,6,1,,,,,,-9999.0,
USS0020K03S,1980,6,10,,,,,,-30.0,
USS0020K03S,1980,6,11,,,,,,7.0,
USS0020K03S,1980,6,12,,,,,,-48.0,
USS0020K03S,1980,6,13,,,,,,8.0,
USS0020K03S,1980,6,14,,,,,,-41.0,
USS0020K03S,1980,6,15,,,,,,-13.0,
USS0020K03S,1980,6,16,,,,,,-21.0,
USS0020K03S,1980,6,17,,,,,,-37.0,
USS0020K03S,1980,6,18,,,,,,-49.0,
USS0020K03S,1980,6,19,,,,,,-40.0,
USS0020K03S,1980,6,2,,,,,,-9999.0,
USS0020K03S,1980,6,20,,,,,,-49.0,
USS0020K03S,1980,6,21,,,,,,-38.0,
USS0020K03S,1980,6,22,,,,,,22.0,
USS0020K03S,1980,6,23,,,,,,-35.0,
USS0020K03S,1980,6,24,,,,,,41.0,
USS0020K03S,1980,6,25,,,,,,1.0,
USS0020K03S,1980,6,26,,,,,,-41.0,
USS0020K03S,1980,6,27,,,,,,1.0,
USS0020K03S,1980,6,28,,,,,,72.0,
USS0020K03S,1980,6,29,,,,,,117.0,
USS0020K03S,1980,6,3,,,,,,-9999.0,
USS0020K03S,1980,6,30,,,,,,41.0,
USS0020K03S,1980,6,31,,,,,,-9999.0,
USS0020K03S,1980,6,4,,,,,,-9999.0,
USS0020K03S,1980,6,5,,,,,,-9999.0,
USS0020K03S,1980,6,6,,,,,,134.0,
USS0020K03S,1980,6,7,,,,,,-42.0,
USS0020K03S,1980,6,8,,,,,,-46.0,
USS0020K03S,1980,6,9,,,,,,-42.0,
USS0020K03S,1980,7,1,,,,,,72.0,
USS0020K03S,1980,7,10,,,,,,38.0,
USS0020K03S,1980,7,11,,,,,,-5.0,
USS0020K03S,1980,7,12,,,,,,96.0,
USS0020K03S,1980,7,13,,,,,,136.0,
USS0020K03S,1980,7,14,,,,,,-26.0,
USS0020K03S,1980,7,15,,,,,,-2.0,
USS0020K03S,1980,7,16,,,,,,12.0,
USS0020K03S,1980,7,17,,,,,,-15.0,
USS0020K03S,1980,7,18,,,,,,-27.0,
USS0020K03S,1980,7,19,,,,,,32.0,
USS0020K03S,1980,7,2,,,,,,-8.0,
USS0020K03S,1980,7,20,,,,,,44.0,
USS0020K03S,1980,7,21,,,,,,33.0,
USS0020K03S,1980,7,22,,,,,,26.0,
USS0020K03S,1980,7,23,,,,,,1.0,
USS0020K03S,1980,7,24,,,,,,-5.0,
USS0020K03S,1980,7,25,,,,,,13.0,
USS0020K03S,1980,7,26,,,,,,45.0,
USS0020K03S,1980,7,27,,,,,,205.0,
USS0020K03S,1980,7,28,,,,,,241.0,
USS0020K03S,1980,7,29,,,,,,51.0,
USS0020K03S,1980,7,3,,,,,,-7.0,
USS0020K03S,1980,7,30,,,,,,94.0,
USS0020K03S,1980,7,31,,,,,,48.0,
USS0020K03S,1980,7,4,,,,,,-46.0,
USS0020K03S,1980,7,5,,,,,,-12.0,
USS0020K03S,1980,7,6,,,,,,76.0,
USS0020K03S,1980,7,7,,,,,,-24.0,
USS0020K03S,1980,7,8,,,,,,13.0,
USS0020K03S,1980,7,9,,,,,,-36.0,
USS0020K03S,1980,8,1,,,,,,-14.0,
USS0020K03S,1980,8,10,,,,,,23.0,
USS0020K03S,1980,8,11,,,,,,-4.0,
USS0020K03S,1980,8,12,,,,,,-15.0,
USS0020K03S,1980,8,13,,,,,,-26.0,
USS0020K03S,1980,8,14,,,,,,0.0,
USS0020K03S,1980,8,15,,,,,,13.0,
USS0020K03S,1980,8,16,,,,,,16.0,
USS0020K03S,1980,8,17,,,,,,77.0,
USS0020K03S,1980,8,18,,,,,,201.0,
USS0020K03S,1980,8,19,,,,,,0.0,
USS0020K03S,1980,8,2,,,,,,-12.0,
USS0020K03S,1980,8,20,,,,,,7.0,
USS0020K03S,1980,8,21,,,,,,5.0,
