ID,YEAR,MONTH,DAY,DAEV,DAPR,DAWM,EVAP,MDEV,MDPR,MDWM,MNPN,MXPN,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV
USC00049111,1962,3,1,,,,25.0,,,,,,0.0,0.0,0.0,133.0,0.0,117.0,105.0
USC00049111,1962,3,10,,,,38.0,,,,,,0.0,0.0,0.0,128.0,11.0,117.0,167.0
USC00049111,1962,3,11,,,,38.0,,,,,,0.0,0.0,0.0,150.0,11.0,128.0,154.0
USC00049111,1962,3,12,,,,43.0,,,,,,0.0,0.0,0.0,161.0,44.0,139.0,142.0
USC00049111,1962,3,13,,,,56.0,,,,,,0.0,0.0,0.0,172.0,67.0,139.0,151.0
USC00049111,1962,3,14,,,,46.0,,,,,,0.0,0.0,0.0,178.0,28.0,133.0,105.0
USC00049111,1962,3,15,,,,18.0,,,,,,0.0,0.0,0.0,172.0,50.0,122.0,-9999.0
USC00049111,1962,3,16,,,,30.0,,,,,,0.0,0.0,0.0,150.0,50.0,128.0,79.0
USC00049111,1962,3,17,,,,30.0,,,,,,0.0,0.0,0.0,161.0,22.0,139.0,97.0
USC00049111,1962,3,18,,,,-9999.0,,,,,,3.0,0.0,0.0,139.0,61.0,111.0,84.0
USC00049111,1962,3,19,,,,43.0,,,,,,25.0,0.0,0.0,133.0,78.0,111.0,80.0
USC00049111,1962,3,2,,,,3.0,,,,,,28.0,0.0,0.0,139.0,33.0,122.0,117.0
USC00049111,1962,3,20,,,,18.0,,,,,,8.0,0.0,0.0,133.0,72.0,128.0,80.0
USC00049111,1962,3,21,,,,33.0,,,,,,0.0,0.0,0.0,161.0,67.0,133.0,134.0
USC00049111,1962,3,22,,,,13.0,,,,,,84.0,0.0,0.0,139.0,39.0,94.0,77.0
USC00049111,1962,3,23,,,,25.0,,,,,,0.0,0.0,0.0,161.0,39.0,150.0,121.0
USC00049111,1962,3,24,,,,53.0,,,,,,0.0,0.0,0.0,200.0,44.0,167.0,183.0
USC00049111,1962,3,25,,,,46.0,,,,,,0.0,0.0,0.0,211.0,39.0,161.0,66.0
USC00049111,1962,3,26,,,,51.0,,,,,,0.0,0.0,0.0,217.0,33.0,167.0,89.0
USC00049111,1962,3,27,,,,28.0,,,,,,0.0,0.0,0.0,178.0,67.0,139.0,80.0
USC00049111,1962,3,28,,,,15.0,,,,,,0.0,0.0,0.0,156.0,94.0,106.0,61.0
USC00049111,1962,3,29,,,,38.0,,,,,,8.0,0.0,0.0,150.0,78.0,128.0,117.0
USC00049111,1962,3,3,,,,-9999.0,,,,,,0.0,0.0,0.0,150.0,39.0,133.0,180.0
USC00049111,1962,3,30,,,,38.0,,,,,,0.0,0.0,0.0,206.0,33.0,178.0,116.0
USC00049111,1962,3,31,,,,43.0,,,,,,0.0,0.0,0.0,211.0,22.0,167.0,92.0
USC00049111,1962,3,4,,,,56.0,,,,,,0.0,0.0,0.0,206.0,28.0,156.0,97.0
USC00049111,1962,3,5,,,,43.0,,,,,,5.0,0.0,0.0,172.0,67.0,144.0,148.0
USC00049111,1962,3,6,,,,25.0,,,,,,112.0,0.0,0.0,144.0,72.0,111.0,211.0
USC00049111,1962,3,7,,,,15.0,,,,,,15.0,0.0,0.0,144.0,39.0,106.0,77.0
USC00049111,1962,3,8,,,,33.0,,,,,,0.0,0.0,0.0,167.0,56.0,139.0,121.0
USC00049111,1962,3,9,,,,30.0,,,,,,0.0,0.0,0.0,144.0,39.0,100.0,106.0
USC00049111,1962,4,1,,,,36.0,,,,,,0.0,0.0,0.0,172.0,83.0,128.0,89.0
USC00049111,1962,4,10,,,,56.0,,,,,,0.0,0.0,0.0,267.0,61.0,200.0,97.0
USC00049111,1962,4,11,,,,58.0,,,,,,0.0,0.0,0.0,250.0,72.0,222.0,80.0
USC00049111,1962,4,12,,,,71.0,,,,,,0.0,0.0,0.0,278.0,117.0,228.0,109.0
USC00049111,1962,4,13,,,,58.0,,,,,,0.0,0.0,0.0,256.0,94.0,206.0,89.0
USC00049111,1962,4,14,,,,64.0,,,,,,0.0,0.0,0.0,211.0,72.0,200.0,111.0
USC00049111,1962,4,15,,,,38.0,,,,,,0.0,0.0,0.0,200.0,67.0,167.0,90.0
USC00049111,1962,4,16,,,,51.0,,,,,,0.0,0.0,0.0,222.0,72.0,200.0,74.0
USC00049111,1962,4,17,,,,58.0,,,,,,0.0,0.0,0.0,244.0,78.0,217.0,80.0
USC00049111,1962,4,18,,,,61.0,,,,,,0.0,0.0,0.0,239.0,94.0,172.0,95.0
USC00049111,1962,4,19,,,,51.0,,,,,,0.0,0.0,0.0,189.0,78.0,156.0,116.0
USC00049111,1962,4,2,,,,-9999.0,,,,,,0.0,0.0,0.0,133.0,83.0,117.0,58.0
USC00049111,1962,4,20,,,,64.0,,,,,,0.0,0.0,0.0,211.0,61.0,183.0,163.0
USC00049111,1962,4,21,,,,97.0,,,,,,0.0,0.0,0.0,272.0,89.0,211.0,174.0
USC00049111,1962,4,22,,,,76.0,,,,,,0.0,0.0,0.0,278.0,78.0,244.0,101.0
USC00049111,1962,4,23,,,,64.0,,,,,,0.0,0.0,0.0,250.0,72.0,211.0,87.0
USC00049111,1962,4,24,,,,64.0,,,,,,0.0,0.0,0.0,217.0,89.0,161.0,95.0
USC00049111,1962,4,25,,,,66.0,,,,,,0.0,0.0,0.0,200.0,61.0,167.0,142.0
USC00049111,1962,4,26,,,,58.0,,,,,,0.0,0.0,0.0,200.0,72.0,183.0,132.0
USC00049111,1962,4,27,,,,64.0,,,,,,8.0,0.0,0.0,211.0,56.0,172.0,108.0
USC00049111,1962,4,28,,,,61.0,,,,,,0.0,0.0,0.0,206.0,50.0,167.0,121.0
USC00049111,1962,4,29,,,,66.0,,,,,,0.0,0.0,0.0,217.0,44.0,183.0,129.0
USC00049111,1962,4,3,,,,23.0,,,,,,0.0,0.0,0.0,161.0,89.0,144.0,76.0
USC00049111,1962,4,30,,,,76.0,,,,,,0.0,0.0,0.0,233.0,61.0,211.0,142.0
USC00049111,1962,4,31,,,,-9999.0,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
USC00049111,1962,4,4,,,,30.0,,,,,,0.0,0.0,0.0,183.0,78.0,150.0,72.0
USC00049111,1962,4,5,,,,66.0,,,,,,0.0,0.0,0.0,294.0,61.0,256.0,-9999.0
USC00049111,1962,4,6,,,,114.0,,,,,,0.0,0.0,0.0,317.0,167.0,261.0,193.0
USC00049111,1962,4,7,,,,109.0,,,,,,0.0,0.0,0.0,311.0,122.0,289.0,143.0
USC00049111,1962,4,8,,,,89.0,,,,,,0.0,0.0,0.0,294.0,156.0,172.0,172.0
USC00049111,1962,4,9,,,,51.0,,,,,,0.0,0.0,0.0,200.0,72.0,178.0,122.0
USC00049111,1962,5,1,,,,71.0,,,,,,0.0,0.0,0.0,278.0,44.0,250.0,87.0
USC00049111,1962,5,10,,,,56.0,,,,,,0.0,0.0,0.0,206.0,56.0,161.0,90.0
USC00049111,1962,5,11,,,,61.0,,,,,,0.0,0.0,0.0,194.0,50.0,161.0,90.0
USC00049111,1962,5,12,,,,51.0,,,,,,5.0,0.0,0.0,189.0,50.0,161.0,90.0
USC00049111,1962,5,13,,,,43.0,,,,,,0.0,0.0,0.0,167.0,56.0,150.0,204.0
USC00049111,1962,5,14,,,,-9999.0,,,,,,8.0,0.0,0.0,161.0,50.0,144.0,64.0
USC00049111,1962,5,15,,,,46.0,,,,,,0.0,0.0,0.0,167.0,67.0,156.0,84.0
USC00049111,1962,5,16,,,,64.0,,,,,,13.0,0.0,0.0,189.0,50.0,156.0,122.0
USC00049111,1962,5,17,,,,56.0,,,,,,0.0,0.0,0.0,183.0,61.0,161.0,-9999.0
USC00049111,1962,5,18,,,,51.0,,,,,,0.0,0.0,0.0,178.0,83.0,161.0,79.0
USC00049111,1962,5,19,,,,53.0,,,,,,0.0,0.0,0.0,178.0,56.0,172.0,82.0
USC00049111,1962,5,2,,,,99.0,,,,,,0.0,0.0,0.0,311.0,67.0,250.0,114.0
USC00049111,1962,5,20,,,,76.0,,,,,,0.0,0.0,0.0,217.0,44.0,189.0,-9999.0
USC00049111,1962,5,21,,,,64.0,,,,,,0.0,0.0,0.0,250.0,56.0,194.0,93.0
